Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,0.1499,0.0463,0.1642,0.164,0.164
12,0.131,0.2849,0.4082,0.0698,0.0698
14,0.6465,0.0131,0.1906,0.0698,0.0698
15,0.6465,0.0131,0.0364,0.0752,0.0752
18,0.3353,0.0215,0.197,0.0923,0.0923
24,0.0279,0.0143,0.0571,0.108,0.108
26,0.0279,0.0143,0.1323,0.097,0.097
33,0.0279,0.012,0.0336,0.0573,0.0573
35,0.0279,0.2402,0.0501,0.0573,0.0573
40,0.0476,0.018,0.775,0.049,0.049
48,0.0476,0.165,0.0459,0.0315,0.0315
54,0.2798,0.0262,0.154,0.0315,0.0315
57,0.0377,0.0098,0.0669,0.0315,0.0315
58,0.0377,0.0062,0.0475,0.0315,0.0315
63,0.0377,0.005,0.0612,0.1629,0.1629
77,0.0377,0.3278,0.6093,0.1098,0.1098
78,0.0754,0.3014,0.7513,0.1098,0.1098
89,0.0754,0.0095,0.2064,0.0968,0.0968
103,0.1187,0.0256,0.3613,0.0829,0.0829
112,0.0204,0.0456,0.1761,0.0566,0.0566
113,0.0204,0.1825,0.2049,0.0566,0.0566
130,0.0204,0.0038,0.2095,0.108,0.108
135,0.0204,0.0038,0.0954,0.108,0.108
136,0.0204,0.0038,0.3096,0.108,0.108
150,0.1594,0.0106,0.3672,0.1122,0.1122
171,0.0371,0.0103,0.0771,0.1143,0.1143
173,0.0314,0.0103,0.0771,0.0514,0.0514
177,0.0314,0.0103,0.2491,0.0514,0.0514
183,0.0314,0.0103,0.2483,0.0558,0.0558
185,0.0314,0.0103,0.1335,0.0558,0.0558
199,0.0683,0.024,0.1424,0.0567,0.0567
206,0.0228,0.098,0.2427,0.0567,0.0567
210,0.0228,0.0328,0.1793,0.0567,0.0567
212,0.0222,0.617,0.1793,0.0889,0.0889
216,0.0222,0.0061,0.0612,0.1271,0.1271
217,0.0222,0.0061,0.0538,0.1271,0.1271
230,0.0117,0.0061,0.1386,0.0242,0.0242
231,0.0117,0.0061,0.1386,0.0242,0.0242
233,0.0117,0.172,0.1676,0.0242,0.0242
235,0.0117,0.0296,0.0577,0.0242,0.0242
237,0.0117,0.0296,0.0577,0.0242,0.0242
241,0.0121,0.0296,0.3022,0.0242,0.0242
